云厂商,地理大区,详细位置,区域代码,Cloudflare配置字符串
AWS,中东/非洲,阿联酋东北部 (迪拜),me-central-1,aws:me-central-1
AWS,中东/非洲,巴林 (巴林),me-south-1,aws:me-south-1
AWS,中东/非洲,南非西南部 (开普敦),af-south-1,aws:af-south-1
GCP,北美洲,美国中部 (爱荷华),us-central1,gcp:us-central1
GCP,北美洲,美国东南部 (南卡罗来纳),us-east1,gcp:us-east1
GCP,北美洲,美国东部 (弗吉尼亚),us-east4,gcp:us-east4
GCP,北美洲,美国中东部 (俄亥俄),us-east5,gcp:us-east5
GCP,北美洲,美国中南部 (德克萨斯),us-south1,gcp:us-south1
GCP,北美洲,美国西部 (俄勒冈),us-west1,gcp:us-west1
GCP,北美洲,美国西部 (加利福尼亚),us-west2,gcp:us-west2
GCP,北美洲,美国西部 (犹他),us-west3,gcp:us-west3
GCP,北美洲,美国西部 (内华达),us-west4,gcp:us-west4
GCP,北美洲,加拿大东南部 (蒙特利尔),northamerica-northeast1,gcp:northamerica-northeast1
GCP,北美洲,加拿大东南部 (多伦多),northamerica-northeast2,gcp:northamerica-northeast2
GCP,北美洲,墨西哥中部 (克雷塔罗),northamerica-south1,gcp:northamerica-south1
GCP,南美洲,巴西东南部 (圣保罗),southamerica-east1,gcp:southamerica-east1
GCP,南美洲,智利中部 (圣地亚哥),southamerica-west1,gcp:southamerica-west1
GCP,欧洲,比利时西南部 (圣吉斯兰),europe-west1,gcp:europe-west1
GCP,欧洲,英国东南部 (伦敦),europe-west2,gcp:europe-west2
GCP,欧洲,德国中西部 (法兰克福),europe-west3,gcp:europe-west3
GCP,欧洲,荷兰东北部 (埃姆斯哈文),europe-west4,gcp:europe-west4
GCP,欧洲,瑞士北部 (苏黎世),europe-west6,gcp:europe-west6
GCP,欧洲,意大利北部 (米兰),europe-west8,gcp:europe-west8
GCP,欧洲,法国中北部 (巴黎),europe-west9,gcp:europe-west9
GCP,欧洲,德国东北部 (柏林),europe-west10,gcp:europe-west10
GCP,欧洲,意大利西北部 (都灵),europe-west12,gcp:europe-west12
GCP,欧洲,波兰中部 (华沙),europe-central2,gcp:europe-central2
GCP,欧洲,西班牙中部 (马德里),europe-southwest1,gcp:europe-southwest1
GCP,欧洲,芬兰南部 (哈米纳),europe-north1,gcp:europe-north1
GCP,欧洲,瑞典东部 (斯德哥尔摩),europe-north2,gcp:europe-north2
GCP,亚太地区,中国东南部 (台湾彰化),asia-east1,gcp:asia-east1
GCP,亚太地区,中国南部 (香港),asia-east2,gcp:asia-east2
GCP,亚太地区,日本东部 (东京),asia-northeast1,gcp:asia-northeast1
GCP,亚太地区,日本中西部 (大阪),asia-northeast2,gcp:asia-northeast2
GCP,亚太地区,韩国西北部 (首尔),asia-northeast3,gcp:asia-northeast3
GCP,亚太地区,印度西部 (孟买),asia-south1,gcp:asia-south1
GCP,亚太地区,印度北部 (德里),asia-south2,gcp:asia-south2
GCP,亚太地区,新加坡 (新加坡),asia-southeast1,gcp:asia-southeast1
GCP,亚太地区,印度尼西亚西北部 (雅加达),asia-southeast2,gcp:asia-southeast2
GCP,亚太地区,澳大利亚东部 (悉尼),australia-southeast1,gcp:australia-southeast1
GCP,亚太地区,澳大利亚东南部 (墨尔本),australia-southeast2,gcp:australia-southeast2
GCP,中东/非洲,以色列中西部 (特拉维夫),me-west1,gcp:me-west1
GCP,中东/非洲,卡塔尔东部 (多哈),me-central1,gcp:me-central1
GCP,中东/非洲,沙特阿拉伯东部 (达曼),me-central2,gcp:me-central2
GCP,中东/非洲,南非东北部 (约翰内斯堡),africa-south1,gcp:africa-south1
Azure,北美洲,美国东部 (弗吉尼亚),eastus,azure:eastus
Azure,北美洲,美国东部 (弗吉尼亚),eastus2,azure:eastus2
Azure,北美洲,美国西部 (加利福尼亚),westus,azure:westus
Azure,北美洲,美国西北部 (华盛顿),westus2,azure:westus2
Azure,北美洲,美国西南部 (亚利桑那),westus3,azure:westus3
Azure,北美洲,美国中部 (爱荷华),centralus,azure:centralus
Azure,北美洲,美国中北部 (伊利诺伊),northcentralus,azure:northcentralus
Azure,北美洲,美国中南部 (德克萨斯),southcentralus,azure:southcentralus
Azure,北美洲,美国中西部 (怀俄明),westcentralus,azure:westcentralus
Azure,北美洲,加拿大东南部 (多伦多),canadacentral,azure:canadacentral
Azure,北美洲,加拿大东部 (魁北克),canadaeast,azure:canadaeast
Azure,北美洲,墨西哥中部 (克雷塔罗),mexicocentral,azure:mexicocentral
Azure,南美洲,巴西东南部 (圣保罗),brazilsouth,azure:brazilsouth
Azure,南美洲,巴西东南部 (里约热内卢),brazilsoutheast,azure:brazilsoutheast
Azure,南美洲,智利中部 (圣地亚哥),chilecentral,azure:chilecentral
Azure,欧洲,爱尔兰东部 (都柏林),northeurope,azure:northeurope
Azure,欧洲,荷兰西部 (阿姆斯特丹),westeurope,azure:westeurope
Azure,欧洲,英国东南部 (伦敦),uksouth,azure:uksouth
Azure,欧洲,英国西南部 (卡迪夫),ukwest,azure:ukwest
Azure,欧洲,法国中北部 (巴黎),francecentral,azure:francecentral
Azure,欧洲,法国南部 (马赛),francesouth,azure:francesouth
Azure,欧洲,德国东北部 (柏林),germanynorth,azure:germanynorth
Azure,欧洲,德国中西部 (法兰克福),germanywestcentral,azure:germanywestcentral
Azure,欧洲,瑞士北部 (苏黎世),switzerlandnorth,azure:switzerlandnorth
Azure,欧洲,瑞士西部 (日内瓦),switzerlandwest,azure:switzerlandwest
Azure,欧洲,挪威东南部 (奥斯陆),norwayeast,azure:norwayeast
Azure,欧洲,挪威西部 (斯塔万格),norwaywest,azure:norwaywest
Azure,欧洲,瑞典中东部 (耶夫勒),swedencentral,azure:swedencentral
Azure,欧洲,意大利北部 (米兰),italynorth,azure:italynorth
Azure,欧洲,波兰中部 (华沙),polandcentral,azure:polandcentral
Azure,欧洲,西班牙中部 (马德里),spaincentral,azure:spaincentral
Azure,欧洲,奥地利东部 (维也纳),austriaeast,azure:austriaeast
Azure,欧洲,比利时中部 (布鲁塞尔),belgiumcentral,azure:belgiumcentral
Azure,亚太地区,中国南部 (香港),eastasia,azure:eastasia
Azure,亚太地区,新加坡 (新加坡),southeastasia,azure:southeastasia
Azure,亚太地区,印度尼西亚西北部 (雅加达),indonesiacentral,azure:indonesiacentral
Azure,亚太地区,马来西亚西部 (吉隆坡),malaysiawest,azure:malaysiawest
Azure,亚太地区,澳大利亚东南部 (堪培拉),australiacentral,azure:australiacentral
Azure,亚太地区,澳大利亚东南部 (堪培拉 2),australiacentral2,azure:australiacentral2
Azure,亚太地区,澳大利亚东部 (悉尼),australiaeast,azure:australiaeast
Azure,亚太地区,澳大利亚东南部 (墨尔本),australiasoutheast,azure:australiasoutheast
Azure,亚太地区,新西兰北部 (奥克兰),newzealandnorth,azure:newzealandnorth
Azure,亚太地区,印度西部 (孟买),westindia,azure:westindia
Azure,亚太地区,印度中西部 (浦那),centralindia,azure:centralindia
Azure,亚太地区,印度东南部 (钦奈),southindia,azure:southindia
Azure,亚太地区,日本东部 (东京),japaneast,azure:japaneast
Azure,亚太地区,日本中西部 (大阪),japanwest,azure:japanwest
Azure,亚太地区,韩国西北部 (首尔),koreacentral,azure:koreacentral
Azure,亚太地区,韩国东南部 (釜山),koreasouth,azure:koreasouth
Azure,中东/非洲,阿联酋中西部 (阿布扎比),uaecentral,azure:uaecentral
Azure,中东/非洲,阿联酋东北部 (迪拜),uaenorth,azure:uaenorth
Azure,中东/非洲,卡塔尔东部 (多哈),qatarcentral,azure:qatarcentral
Azure,中东/非洲,以色列中部 (耶路撒冷),israelcentral,azure:israelcentral
Azure,中东/非洲,南非东北部 (约翰内斯堡),southafricanorth,azure:southafricanorth
Azure,中东/非洲,南非西南部 (开普敦),southafricawest,azure:southafricawest
